,nodes_pred,nodes_Conv_clas,nodes_Dense_clas,kernel_size,strides,learning_rate_pred,learning_rate_clas,batch_sizes_pred,batch_sizes_clas,val_treshold_pred,val_treshold_clas,max_val_amount_pred,max_val_amount_clas,val_freq_pred,val_freq_clas,EPOCHS_pred,EPOCHS_clas,time_steps,trials,brain_areas,mse_pred,mse_clas,true_positive_clas,true_negative_clas,STOP_pred,STOP_clas,time,brain_area
319,50,15,5,10,2,1e-06,1e-05,50,5,1e-09,1e-10,200,100,50,5,15,30,100,1000,1000,0.02683487571776367,0.21885590021885176,0.0,1.0,Max_epochs,Max Epochs,34.10892677307129,231
320,75,15,20,6,3,1e-05,0.005,200,10,1e-08,1e-08,100,200,100,5,35,15,100,1000,1000,0.020961190357841365,0.015999241031490585,1.0,0.9760119940029985,Max_epochs,Max Epochs,28.815937042236328,231
321,125,15,20,6,3,5e-06,0.005,200,10,1e-08,1e-08,200,200,100,5,35,15,100,1000,1000,0.022045712723084594,0.015286299173975173,1.0,0.974512743628186,Max_epochs,Max val increment,30.107635021209717,231
322,50,15,20,6,3,1e-05,0.005,25,10,1e-10,1e-08,50,200,100,5,40,15,100,1000,1000,0.01868221456118746,0.0745223263742977,0.8618618618618619,0.9970014992503748,Max val increment,Max val increment,28.37595295906067,231
323,100,35,20,8,3,5e-06,0.005,200,10,1e-08,1e-08,100,200,100,5,40,15,100,1000,1000,0.019998955991802597,0.20130143076108073,0.0,1.0,Max_epochs,Max val increment,30.929776906967163,231
324,50,15,5,2,2,1e-05,0.0001,25,50,1e-08,1e-09,200,200,100,5,35,15,100,1000,1000,0.01773577480506724,0.2195380138668962,0.0,1.0,Max val increment,Max Epochs,65.07044816017151,231
325,75,15,10,6,2,5e-05,5e-05,200,10,1e-10,1e-10,100,200,100,10,30,35,100,1000,1000,0.0250569152976943,0.08422353611674731,0.993993993993994,0.9970014992503748,Max_epochs,Max Epochs,28.59233593940735,231
326,50,15,10,6,1,0.0001,5e-05,25,25,1e-09,1e-10,200,100,50,5,15,25,100,1000,1000,0.016105365672751063,0.135798199197328,0.35435435435435436,1.0,Max val increment,Max Epochs,32.67879605293274,231
327,50,30,15,2,2,0.0001,5e-05,25,25,1e-09,1e-10,200,50,50,10,20,25,100,1000,1000,0.017880113238264612,0.21384650840789188,0.0,1.0,Max val increment,Max Epochs,46.47041893005371,231
328,50,40,5,4,2,1e-06,0.0001,100,5,1e-09,1e-08,200,100,50,5,40,20,100,1000,1000,0.028880385957117293,0.22666032040323802,0.0,1.0,Max val increment,Max Epochs,33.59612011909485,231
329,75,25,20,6,3,0.0001,1e-05,25,50,1e-09,1e-10,200,100,50,5,15,25,100,1000,1000,0.02225921783842724,0.22642592843284737,0.0,1.0,Max_epochs,Max Epochs,42.07789421081543,231
330,50,35,5,2,1,0.005,5e-05,50,25,1e-09,1e-08,200,50,50,10,20,15,100,1000,1000,0.044235618845723274,0.22756881226646444,0.0,1.0,Max val increment,Max Epochs,24.15625,231
331,150,15,10,2,2,5e-06,0.0001,25,50,1e-09,1e-08,200,100,50,5,15,25,100,1000,1000,0.01872927333807073,0.22334545110833603,0.0,1.0,Max val increment,Max Epochs,47.344008922576904,231
332,125,15,5,6,3,5e-06,5e-05,25,5,1e-09,1e-10,200,50,50,5,15,40,100,1000,1000,0.017959614388146295,0.0038283644144741107,0.993993993993994,0.9955022488755623,Max_epochs,Max val increment,48.46106004714966,231
333,50,15,5,6,3,1e-06,5e-05,25,5,1e-09,1e-10,100,50,50,5,40,40,100,1000,1000,0.026469750358720977,0.2216208805604134,0.0,1.0,Max val increment,Max val increment,35.4137327671051,231
334,75,15,20,10,3,5e-06,1e-05,100,25,1e-09,1e-08,200,100,50,5,15,15,100,1000,1000,0.020669089261513642,0.2260824797601423,0.0,1.0,Max_epochs,Max Epochs,25.672343015670776,231
