;mse_pred;mse_clas;truepositive_clas;truenegative_clas;STOP;STOP_clas
0;0.34606649972125314;0.002992241816074003;1.0;0.9955022488755623;Max val increment;Max val increment
1;0.3827042122176207;0.009072874470837555;0.996996996996997;0.9850074962518741;Max val increment;Max val increment
2;0.3955561479644962;0.008273402482513879;0.996996996996997;0.9895052473763118;Max val increment;Max val increment
3;0.3772543039919138;0.005743387866008487;0.9819819819819819;0.9970014992503748;Max val increment;Max val increment
4;0.4351635443531192;0.011224653736221129;0.996996996996997;0.9895052473763118;Max val increment;Max val increment
5;0.40125247656377416;0.0029838877061685574;1.0;0.9940029985007496;Max val increment;Max val increment
6;0.36729555604182934;0.006397998207483919;0.9819819819819819;0.9970014992503748;Max val increment;Max val increment
7;0.3802589378092403;0.006639601068978157;1.0;0.9895052473763118;Max val increment;Max val increment
8;0.40572974348965174;0.008412117758251476;0.990990990990991;0.9910044977511244;Max val increment;Max val increment
9;0.41770991986278233;0.008685071176886532;1.0;0.9865067466266867;Max val increment;Max val increment
10;0.3668260138855822;0.0020634641318798665;1.0;0.9970014992503748;Max val increment;Max val increment
11;0.34600144346407696;0.002677061263917418;1.0;0.9955022488755623;Max val increment;Max val increment
12;0.3768095820708763;0.006026170798892453;1.0;0.9910044977511244;Max val increment;Max val increment
13;0.37179035981674174;0.0005660848723406751;1.0;0.9970014992503748;Max val increment;Max val increment
14;0.4101284862523646;0.014241551009053211;1.0;0.9775112443778111;Max val increment;Max val increment
15;0.40516108811331064;0.01556357731659963;1.0;0.9760119940029985;Max val increment;Max val increment
16;0.40969445624794104;0.005975325821226148;0.996996996996997;0.9910044977511244;Max val increment;Max val increment
17;0.34793981589613954;0.0027172233208113514;1.0;0.9970014992503748;Max val increment;Max val increment
18;0.4069508953749614;0.01238771126576911;0.996996996996997;0.9820089955022488;Max val increment;Max val increment
19;0.3688375861225338;0.006960971405968166;0.993993993993994;0.9910044977511244;Max val increment;Max val increment
20;0.4455387687180477;0.011150447475895182;0.987987987987988;0.9835082458770614;Max val increment;Max val increment
21;0.34781688131563204;0.006422226484311449;0.993993993993994;0.9910044977511244;Max val increment;Max val increment
22;0.4336730163948962;0.009709709975387785;0.984984984984985;0.9880059970014993;Max val increment;Max val increment
23;0.3756812357300084;0.006000106012226819;0.996996996996997;0.9895052473763118;Max val increment;Max val increment
24;0.4653782788539522;0.02439830301882052;0.9519519519519519;0.9760119940029985;Max val increment;Max val increment
25;0.49347552821503843;0.03047244860401517;0.987987987987988;0.9550224887556222;Max val increment;Max val increment
26;0.464858641981013;0.02086582000650475;0.9819819819819819;0.9700149925037481;Max val increment;Max val increment
27;0.4164174436400059;0.00989250588023404;1.0;0.9835082458770614;Max val increment;Max val increment
28;0.36634858246148877;0.007572315944050646;1.0;0.9895052473763118;Max val increment;Max val increment
29;0.48250548371742347;0.02459129255738369;0.993993993993994;0.9565217391304348;Max val increment;Max val increment
30;0.39784845210037406;0.009532652228207912;1.0;0.9850074962518741;Max val increment;Max val increment
31;0.4301265509071095;0.009942953822812944;1.0;0.9805097451274363;Max val increment;Max val increment
32;0.3739038146212734;0.002911305465176273;0.996996996996997;0.9970014992503748;Max val increment;Max val increment
33;0.4916259390533314;0.024872440093303177;0.990990990990991;0.9625187406296851;Max val increment;Max val increment
34;0.42009829916743685;0.011350084489893724;0.993993993993994;0.9835082458770614;Max val increment;Max val increment
35;0.390268021923148;0.015120393985163122;0.963963963963964;0.992503748125937;Max val increment;Max val increment
36;0.44142476943019116;0.024031964807166854;0.993993993993994;0.95952023988006;Max val increment;Max val increment
37;0.41320968978602984;0.007413546168543517;1.0;0.9880059970014993;Max val increment;Max val increment
38;0.42854563064476636;0.03013223900534508;1.0;0.9535232383808095;Max val increment;Max val increment
39;0.4585045279127668;0.026075309852596266;0.9819819819819819;0.967016491754123;Max val increment;Max val increment
40;0.36682448734728734;0.04175831191427534;0.996996996996997;0.9985007496251874;Max val increment;Max Epochs
41;0.38939093076364806;0.010182113314794555;0.978978978978979;0.9910044977511244;Max val increment;Max val increment
42;0.42634501965167804;0.00931419314307859;0.978978978978979;0.9910044977511244;Max val increment;Max val increment
43;0.4318596475295211;0.010819057554681556;0.993993993993994;0.9865067466266867;Max val increment;Max val increment
44;0.4227405253344529;0.014059042566323654;0.993993993993994;0.9775112443778111;Max val increment;Max val increment
45;0.4980865507452436;0.03387912789565204;0.93993993993994;0.9625187406296851;Max val increment;Max val increment
46;0.4018315927709052;0.020608967066223213;1.0;0.967016491754123;Max val increment;Max val increment
47;0.3386875818145019;0.0024162483552446815;1.0;0.9955022488755623;Max val increment;Max val increment
48;0.4233469798047284;0.015046581372817516;1.0;0.9775112443778111;Max val increment;Max val increment
49;0.4264628800209665;0.08381745917617929;0.960960960960961;0.992503748125937;Max val increment;Max val increment
50;0.47096435691372024;0.02538685297190758;0.963963963963964;0.9820089955022488;Max val increment;Max val increment
51;0.4627188290615669;0.034334250687364704;0.954954954954955;0.9685157421289355;Max val increment;Max val increment
52;0.41923807523601275;0.01221173978407714;0.984984984984985;0.9865067466266867;Max val increment;Max val increment
53;0.37538711124373986;0.0083803988579936;1.0;0.9850074962518741;Max val increment;Max val increment
54;0.39408150467423736;0.004478477210434778;0.990990990990991;0.9970014992503748;Max val increment;Max val increment
55;0.526195499673244;0.032382207946471266;0.996996996996997;0.9505247376311844;Max val increment;Max val increment
56;0.4098449904960161;0.01231259480442645;0.972972972972973;0.9895052473763118;Max val increment;Max val increment
